player,Team,Role,over_1_f,over_2_f,over_3_f,over_4_f,over_5_f,over_6_f,over_7_f,over_8_f,over_9_f,over_10_f,over_11_f,over_12_f,over_13_f,over_14_f,over_15_f,over_16_f,over_17_f,over_18_f,over_19_f,over_20_f,power_surge_f
A Zampa,Melbourne Renegades,BOWL,0,0,0,0,0,4,0,1,2,1,0,2,1,1,2,1,0,1,0,2,2
AC Agar,Perth Scorchers,BOWL,0,0,0,0,1,2,1,2,3,1,0,1,2,1,1,1,0,0,0,0,1
AF Milne,Melbourne Stars,BOWL,3,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0
AI Ross,Adelaide Strikers,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ Hosein,Sydney Sixers,BOWL,3,1,1,1,0,0,2,1,0,1,1,0,0,2,0,1,2,0,0,0,0
AJ Turner,Perth Scorchers,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
AJ Tye,Perth Scorchers,BOWL,0,0,0,0,1,0,2,1,1,0,2,1,0,0,0,1,1,2,1,1,2
AM Hardie,Perth Scorchers,ALLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT Carey,Adelaide Strikers,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B Doggett,Adelaide Strikers,BOWL,2,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
B Stanlake,Hobart Hurricanes,BOWL,0,4,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0
BAD Manenti,Sydney Sixers,BOWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ Dwarshuis,Sydney Sixers,BOWL,1,0,2,1,0,0,1,0,1,1,0,3,1,1,2,0,2,1,1,1,5
BJ Webster,Melbourne Stars,ALLR,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
BL Couch,Melbourne Stars,BOWL,0,0,1,0,1,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0
BM Duckett,Melbourne Stars,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR McDermott,Hobart Hurricanes,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C Connolly,Perth Scorchers,ALLR,0,0,0,0,0,1,1,1,0,0,1,1,1,2,1,0,0,1,0,1,0
C Kellaway,Melbourne Stars,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C Munro,Brisbane Heat,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA Lynn,Adelaide Strikers,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA Wakim,Hobart Hurricanes,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callum Vidler,Brisbane Heat,BOWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJ Boyce,Adelaide Strikers,BOWL,0,0,0,0,2,2,0,1,1,0,5,1,1,2,1,0,2,0,0,0,0
CJ Green,Sydney Thunder,BOWL,0,0,1,1,1,1,0,2,2,1,1,0,1,2,1,0,1,0,0,1,0
CJ Jordan,Hobart Hurricanes,BOWL,0,0,0,1,1,1,1,0,0,0,0,1,2,0,2,1,0,2,0,1,3
CP Jewell,Hobart Hurricanes,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT Bancroft,Sydney Thunder,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA Warner,Sydney Thunder,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJM Short,Adelaide Strikers,BAT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Doug Warren,Melbourne Stars,BOWL,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0
DP Hughes,Sydney Sixers,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Sams,Sydney Thunder,ALLR,0,0,0,2,1,1,0,1,0,1,0,3,0,1,0,2,1,1,1,0,1
F O'Neill,Melbourne Renegades,BOWL,5,0,2,0,2,0,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0
Fabian Allen,Adelaide Strikers,ALLR,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Finn Allen,Perth Scorchers,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GJ Maxwell,Melbourne Stars,ALLR,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
GS Sandhu,Melbourne Renegades,BOWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H Kerr,Sydney Sixers,ALLR,0,0,0,0,3,0,0,1,1,1,1,0,1,1,1,1,0,0,1,2,3
H McKenzie,Melbourne Stars,BOWL,0,0,0,0,0,2,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0
Harry Dixon,Melbourne Renegades,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hassan Khan,Melbourne Renegades,ALLR,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
HJ Nielsen,Adelaide Strikers,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTRY Thornton,Adelaide Strikers,BOWL,0,6,0,6,0,0,1,2,0,0,0,0,0,2,2,1,0,2,1,0,5
HWR Cartwright,Melbourne Stars,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iain Carlisle,Hobart Hurricanes,BOWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Brown,Melbourne Renegades,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Edwards,Sydney Sixers,ALLR,0,2,1,1,0,2,0,0,0,0,3,0,1,0,0,0,1,0,0,2,0
J Fraser-McGurk,Melbourne Renegades,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Merlo,Melbourne Stars,ALLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Overton,Adelaide Strikers,ALLR,0,0,2,0,1,3,0,1,1,2,0,1,1,1,1,2,2,0,3,2,5
J Weatherald,Adelaide Strikers,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JA Davies,Sydney Sixers,ALLR,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0
JA Richardson,Perth Scorchers,BOWL,2,1,0,1,0,0,0,1,0,0,2,1,0,0,1,1,1,0,1,0,3
Jacob Bethell,Melbourne Renegades,ALLR,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
Jafer Chohan,Sydney Sixers,BOWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Doran,Hobart Hurricanes,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JC Silk,Sydney Sixers,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JD Wildermuth,Brisbane Heat,ALLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJ Bazley,Adelaide Strikers,ALLR,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JJ Peirson,Brisbane Heat,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJS Sangha,Sydney Thunder,BAT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JM Bird,Sydney Sixers,BOWL,1,2,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,2,1,0,0
JM Clarke,Melbourne Stars,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JM Vince,Sydney Sixers,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Buckingham,Adelaide Strikers,BOWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP Behrendorff,Perth Scorchers,BOWL,3,2,3,2,0,1,0,0,0,0,0,1,1,0,0,0,3,2,1,1,2
JP Inglis,Perth Scorchers,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP Wood,Brisbane Heat,ALLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR Philippe,Sydney Sixers,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JS Paris,Melbourne Stars,BOWL,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
JW Wells,Melbourne Renegades,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keaton Jennings,Perth Scorchers,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR Patterson,Sydney Sixers,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW Richardson,Melbourne Renegades,BOWL,0,0,3,1,0,0,1,0,1,3,1,0,0,1,0,1,1,2,0,0,4
L Pope,Adelaide Strikers,BOWL,0,0,0,0,1,0,3,0,1,3,1,3,3,0,0,2,0,2,1,0,0
LC Hatcher,Sydney Thunder,BOWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liam Scott,Adelaide Strikers,ALLR,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,2,0
LJ Evans,Melbourne Renegades,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lockie Ferguson,Sydney Thunder,BOWL,2,2,1,1,0,0,0,0,0,2,0,0,1,0,0,2,1,0,3,1,4
LR Morris,Perth Scorchers,BOWL,0,1,2,1,2,0,0,0,0,4,0,0,1,0,2,1,0,0,1,1,0
M Bryant,Brisbane Heat,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Gilkes,Sydney Thunder,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Kelly,Perth Scorchers,BOWL,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
M Labuschagne,Brisbane Heat,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Wright,Hobart Hurricanes,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahli Beardman,Perth Scorchers,BOWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Hurst,Perth Scorchers,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Spoors,Perth Scorchers,ALLR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC Henriques,Sydney Sixers,ALLR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG Neser,Brisbane Heat,ALLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Perry,Sydney Sixers,BOWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MJ Owen,Hobart Hurricanes,ALLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MJ Swepson,Brisbane Heat,BOWL,0,0,0,0,0,2,2,2,0,2,1,0,2,3,0,1,1,1,0,0,0
MP Kuhnemann,Brisbane Heat,BOWL,0,1,0,1,2,2,2,2,0,1,2,0,0,0,1,2,1,1,0,0,0
MP Stoinis,Melbourne Stars,ALLR,0,1,1,0,1,1,0,0,1,0,1,2,1,0,1,1,2,1,0,0,2
MR Marsh,Perth Scorchers,ALLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS Harris,Melbourne Renegades,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS Wade,Hobart Hurricanes,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT Renshaw,Brisbane Heat,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT Steketee,Melbourne Stars,BOWL,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
MW Harvey,Melbourne Renegades,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MW Short,Adelaide Strikers,ALLR,4,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
N McAndrew,Sydney Thunder,BOWL,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,2
NA McSweeney,Brisbane Heat,BAT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nikhil Chaudhary,Hobart Hurricanes,ALLR,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0
NJ Maddinson,Sydney Thunder,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM Lyon,Melbourne Renegades,BOWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR Hobson,Perth Scorchers,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NT Ellis,Hobart Hurricanes,BOWL,0,0,1,1,1,0,1,0,2,0,1,0,0,2,0,0,0,0,2,0,2
O Davies,Sydney Thunder,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ollie Pope,Adelaide Strikers,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P Hatzoglou,Hobart Hurricanes,BOWL,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
PG Dooley,Hobart Hurricanes,BOWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI Walter,Brisbane Heat,ALLR,0,0,0,0,1,1,1,1,1,1,0,4,1,0,0,1,0,1,1,1,2
PM Siddle,Melbourne Stars,BOWL,0,3,0,1,0,0,1,2,0,2,1,0,1,1,3,1,0,2,0,1,5
Rishad Hossain,Hobart Hurricanes,ALLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP Meredith,Hobart Hurricanes,BOWL,4,0,2,1,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,2,1
Ryan Hadley,Sydney Thunder,BOWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Fanning,Perth Scorchers,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA Abbott,Sydney Sixers,BOWL,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2,0,2
Sam Konstas,Sydney Thunder,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SB Harper,Melbourne Stars,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH Johnson,Brisbane Heat,BOWL,1,2,1,2,0,0,0,0,1,0,0,0,0,0,2,1,1,0,1,0,1
Shai Hope,Hobart Hurricanes,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherfane Rutherford,Sydney Thunder,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM Boland,Melbourne Stars,BOWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPD Smith,Sydney Sixers,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SW Billings,Sydney Thunder,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T Kelly,Adelaide Strikers,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T Murphy,Sydney Sixers,BOWL,0,0,0,0,1,1,1,2,0,0,0,1,1,0,1,2,0,0,0,0,0
T Sangha,Sydney Thunder,BOWL,0,0,0,0,1,0,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0
TF Rogers,Melbourne Stars,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH David,Hobart Hurricanes,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Seifert,Melbourne Renegades,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TK Curran,Melbourne Stars,ALLR,0,0,0,3,1,0,0,1,2,1,0,2,0,2,0,1,0,0,1,1,3
TM Head,Adelaide Strikers,ALLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Alsop,Brisbane Heat,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TS Rogers,Melbourne Renegades,BOWL,0,5,0,3,0,0,1,0,1,1,1,0,1,1,0,1,1,0,2,0,1
Usama Mir,Melbourne Stars,BOWL,0,0,0,0,0,2,0,1,1,0,2,1,1,1,0,0,1,0,1,0,0
UT Khawaja,Brisbane Heat,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W Prestwidge,Brisbane Heat,BOWL,0,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0
W Sutherland,Melbourne Renegades,ALLR,0,0,0,1,2,1,2,2,0,0,0,3,1,1,2,0,1,0,1,0,3
WA Agar,Sydney Thunder,BOWL,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,1,1
Waqar Salamkheil,Hobart Hurricanes,BOWL,0,0,0,0,1,2,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0
Will Salzmann,Sydney Thunder,ALLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Crone,Melbourne Renegades,BOWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XC Bartlett,Brisbane Heat,BOWL,4,1,4,1,0,0,0,0,0,0,1,0,1,2,1,0,1,1,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,,
