Last_Name,First_Name,First_Name_Short,Full_Name,player,Price,Team,Role,Available,In_Team
Abbott,Sean,SA,Sean Abbott,SA Abbott,138000,Sydney Sixers,BOWL,0,0
Billings,Sam,SW,Sam Billings,SW Billings,161800,Sydney Thunder,WK,1,0
Agar,Ashton,AC,Ashton Agar,AC Agar,138400,Perth Scorchers,BOWL,1,0
Allen,Fabian,,Fabian Allen,Fabian Allen,115700,Adelaide Strikers,ALLR,0,0
Allen,Finn,,Finn Allen,Finn Allen,115000,Perth Scorchers,BAT,1,0
Alsop,Tom,,Tom Alsop,Tom Alsop,117500,Brisbane Heat,WK,1,0
Andrews,Tom,,Tom Andrews,Tom Andrews,64100,Sydney Thunder,BOWL,1,0
Bancroft,Cameron,CT,Cameron Bancroft,CT Bancroft,101100,Sydney Thunder,WK,0,0
Bartlett,Xavier,XC,Xavier Bartlett,XC Bartlett,183600,Brisbane Heat,BOWL,1,0
Bazley,James,JJ,James Bazley,JJ Bazley,60400,Adelaide Strikers,ALLR,1,0
Beardman,Mahli,,Mahli Beardman,Mahli Beardman,39500,Perth Scorchers,BOWL,0,0
Behrendorff,Jason,JP,Jason Behrendorff,JP Behrendorff,179700,Perth Scorchers,BOWL,1,0
Bethell,Jacob,,Jacob Bethell,Jacob Bethell,118600,Melbourne Renegades,ALLR,1,0
Agar,Wes,WA,Wes Agar,WA Agar,159200,Sydney Thunder,BOWL,1,1
Bird,Jackson,JM,Jackson Bird,JM Bird,171900,Sydney Sixers,BOWL,0,0
Boland,Scott,SM,Scott Boland,SM Boland,84700,Melbourne Stars,BOWL,0,0
Boyce,Cameron,CJ,Cameron Boyce,CJ Boyce,98000,Adelaide Strikers,BOWL,1,0
Johnson,Spencer,SH,Spencer Johnson,SH Johnson,157800,Brisbane Heat,BOWL,1,1
Bryant,Max,M,Max Bryant,M Bryant,118000,Brisbane Heat,BAT,1,0
Buckingham,Jordan,,Jordan Buckingham,Jordan Buckingham,39500,Adelaide Strikers,BOWL,0,0
Carey,Alex,AT,Alex Carey,AT Carey,167500,Adelaide Strikers,WK,0,0
Carlisle,Iain,,Iain Carlisle,Iain Carlisle,39500,Hobart Hurricanes,BOWL,0,0
Cartwright,Hilton,HWR,Hilton Cartwright,HWR Cartwright,66300,Melbourne Stars,BAT,1,0
Chaudhary,Nikhil,Nikhil,Nikhil Chaudhary,Nikhil Chaudhary,121000,Hobart Hurricanes,ALLR,1,0
Chohan,Jafer,,Jafer Chohan,Jafer Chohan,117500,Sydney Sixers,BOWL,0,0
Clarke,Joe,JM,Joe Clarke,JM Clarke,110600,Melbourne Stars,WK,0,0
Connolly,Cooper,C,Cooper Connolly,C Connolly,166800,Perth Scorchers,ALLR,1,0
Couch,Brody,BL,Brody Couch,BL Couch,68600,Melbourne Stars,BOWL,0,0
Crone,Xavier,,Xavier Crone,Xavier Crone,39500,Melbourne Renegades,BOWL,0,0
Curran,Tom,TK,Tom Curran,TK Curran,140700,Melbourne Stars,ALLR,0,0
Warner,David,DA,David Warner,DA Warner,151900,Sydney Thunder,BAT,1,1
Davies,Joel,JA,Joel Davies,JA Davies,68800,Sydney Sixers,ALLR,0,0
Davies,Ollie,O,Ollie Davies,O Davies,62400,Sydney Thunder,BAT,1,0
Dixon,Harry,,Harry Dixon,Harry Dixon,39500,Melbourne Renegades,BAT,0,0
Doggett,Brendan,B,Brendan Doggett,B Doggett,119800,Adelaide Strikers,BOWL,1,0
Dooley,Paddy,PG,Paddy Dooley,PG Dooley,88000,Hobart Hurricanes,BOWL,0,0
Doran,Jake,,Jake Doran,Jake Doran,39500,Hobart Hurricanes,WK,0,0
Duckett,Ben,BM,Ben Duckett,BM Duckett,184000,Melbourne Stars,WK,1,0
Dwarshuis,Ben,BJ,Ben Dwarshuis,BJ Dwarshuis,178600,Sydney Sixers,BOWL,1,0
Sutherland,Will,W,Will Sutherland,W Sutherland,148400,Melbourne Renegades,ALLR,1,1
Ellis,Nathan,NT,Nathan Ellis,NT Ellis,148000,Hobart Hurricanes,BOWL,1,0
Evans,Laurie,LJ,Laurie Evans,LJ Evans,119700,Melbourne Renegades,BAT,1,0
Fanning,Sam,S,Sam Fanning,S Fanning,39500,Perth Scorchers,BAT,0,0
Edwards,Jack,J,Jack Edwards,J Edwards,141700,Sydney Sixers,ALLR,1,0
Fraser-McGurk,Jake,J,Jake Fraser-McGurk,J Fraser-McGurk,74200,Melbourne Renegades,BAT,1,0
Gilkes,Matthew,M,Matthew Gilkes,M Gilkes,64300,Sydney Thunder,WK,1,0
Green,Chris,CJ,Chris Green,CJ Green,145700,Sydney Thunder,BOWL,1,0
Hadley,Ryan,,Ryan Hadley,Ryan Hadley,39500,Sydney Thunder,BOWL,0,0
Hardie,Aaron,AM,Aaron Hardie,AM Hardie,116600,Perth Scorchers,ALLR,1,0
Jordan,Chris,CJ,Chris Jordan,CJ Jordan,141200,Hobart Hurricanes,BOWL,1,1
Harris,Marcus,MS,Marcus Harris,MS Harris,58500,Melbourne Renegades,BAT,0,0
Harvey,Mackenzie,MW,Mackenzie Harvey,MW Harvey,58600,Melbourne Renegades,BAT,1,0
Hatcher,Liam,LC,Liam Hatcher,LC Hatcher,64100,Sydney Thunder,BOWL,0,0
Hatzoglou,Peter,P,Peter Hatzoglou,P Hatzoglou,79700,Hobart Hurricanes,BOWL,0,0
Head,Travis,TM,Travis Head,TM Head,130000,Adelaide Strikers,ALLR,0,0
Henriques,Moises,MC,Moises Henriques,MC Henriques,96200,Sydney Sixers,ALLR,1,0
Hobson,Nick,NR,Nick Hobson,NR Hobson,91600,Perth Scorchers,BAT,1,0
Hope,Shai,,Shai Hope,Shai Hope,106700,Hobart Hurricanes,WK,1,1
Hosein,Akeal,AJ,Akeal Hosein,AJ Hosein,155200,Sydney Sixers,BOWL,1,0
Hossain,Rishad,,Rishad Hossain,Rishad Hossain,85000,Hobart Hurricanes,ALLR,0,0
Hughes,Daniel,DP,Daniel Hughes,DP Hughes,131400,Sydney Sixers,BAT,0,0
Hurst,Matthew,,Matthew Hurst,Matthew Hurst,91500,Perth Scorchers,WK,1,0
Inglis,Josh,JP,Josh Inglis,JP Inglis,136200,Perth Scorchers,WK,0,0
Jennings,Keaton,,Keaton Jennings,Keaton Jennings,98700,Perth Scorchers,BAT,0,0
Jewell,Caleb,CP,Caleb Jewell,CP Jewell,64500,Hobart Hurricanes,BAT,0,0
Thornton,Henry,HTRY,Henry Thornton,HTRY Thornton,134500,Adelaide Strikers,BOWL,1,1
Ferguson,Lockie,,Lockie Ferguson,Lockie Ferguson,134300,Sydney Thunder,BOWL,1,1
Kellaway,Campbell,C,Campbell Kellaway,C Kellaway,53900,Melbourne Stars,BAT,0,0
Kelly,Matt,M,Matt Kelly,M Kelly,108800,Perth Scorchers,BOWL,0,0
Kelly,Thomas,T,Thomas Kelly,T Kelly,61400,Adelaide Strikers,BAT,0,0
Kerr,Hayden,H,Hayden Kerr,H Kerr,113700,Sydney Sixers,ALLR,1,0
Khan,Hassan,,Hassan Khan,Hassan Khan,115000,Melbourne Renegades,ALLR,0,0
Khawaja,Usman,UT,Usman Khawaja,UT Khawaja,130000,Brisbane Heat,BAT,0,0
Konstas,Sam,,Sam Konstas,Sam Konstas,75600,Sydney Thunder,BAT,0,0
Kuhnemann,Matthew,MP,Matthew Kuhnemann,MP Kuhnemann,89000,Brisbane Heat,BOWL,1,0
Labuschagne,Marnus,M,Marnus Labuschagne,M Labuschagne,130000,Brisbane Heat,BAT,0,0
Lynn,Chris,CA,Chris Lynn,CA Lynn,144800,Adelaide Strikers,BAT,1,0
Lyon,Nathan,NM,Nathan Lyon,NM Lyon,58500,Melbourne Renegades,BOWL,0,0
Maddinson,Nic,NJ,Nic Maddinson,NJ Maddinson,58500,Sydney Thunder,BAT,0,0
Manenti,Ben,BAD,Ben Manenti,BAD Manenti,58500,Sydney Sixers,BOWL,0,0
Marsh,Mitchell,MR,Mitchell Marsh,MR Marsh,152000,Perth Scorchers,ALLR,0,0
Maxwell,Glenn,GJ,Glenn Maxwell,GJ Maxwell,163500,Melbourne Stars,ALLR,1,0
McAndrew,Nathan,N,Nathan McAndrew,N McAndrew,83300,Sydney Thunder,BOWL,0,0
McDermott,Ben,BR,Ben McDermott,BR McDermott,136500,Hobart Hurricanes,WK,1,1
McKenzie,Hamish,H,Hamish McKenzie,H McKenzie,68100,Melbourne Stars,BOWL,0,0
McSweeney,Nathan,NA,Nathan McSweeney,NA McSweeney,125600,Brisbane Heat,BAT,1,0
Meredith,Riley,RP,Riley Meredith,RP Meredith,117900,Hobart Hurricanes,BOWL,1,0
Merlo,Jonathan,J,Jonathan Merlo,J Merlo,51600,Melbourne Stars,ALLR,0,0
Milne,Adam,AF,Adam Milne,AF Milne,102600,Melbourne Stars,BOWL,0,0
Mir,Usama,Usama,Usama Mir,Usama Mir,121500,Melbourne Stars,BOWL,1,0
Morris,Lance,LR,Lance Morris,LR Morris,149300,Perth Scorchers,BOWL,1,0
Munro,Colin,C,Colin Munro,C Munro,75600,Brisbane Heat,BAT,1,0
Murphy,Todd,T,Todd Murphy,T Murphy,96300,Sydney Sixers,BOWL,1,0
Neser,Michael,MG,Michael Neser,MG Neser,175400,Brisbane Heat,ALLR,1,0
Nielsen,Harry,HJ,Harry Nielsen,HJ Nielsen,55600,Adelaide Strikers,WK,0,0
O'Neill,Fergus,F,Fergus O'Neill,F O'Neill,128000,Melbourne Renegades,BOWL,0,0
Overton,Jamie,J,Jamie Overton,J Overton,201200,Adelaide Strikers,ALLR,1,0
Owen,Mitch,MJ,Mitch Owen,MJ Owen,149600,Hobart Hurricanes,ALLR,1,1
Paris,Joel,JS,Joel Paris,JS Paris,103400,Melbourne Stars,BOWL,1,0
Patterson,Kurtis,KR,Kurtis Patterson,KR Patterson,79600,Sydney Sixers,BAT,1,0
Peirson,Jimmy,JJ,Jimmy Peirson,JJ Peirson,113100,Brisbane Heat,WK,0,0
Perry,Mitchell,,Mitchell Perry,Mitchell Perry,39500,Sydney Sixers,BOWL,0,0
Philippe,Josh,JR,Josh Philippe,JR Philippe,169100,Sydney Sixers,WK,1,0
Pope,Lloyd,L,Lloyd Pope,L Pope,121900,Adelaide Strikers,BOWL,1,0
Pope,Ollie,,Ollie Pope,Ollie Pope,120800,Adelaide Strikers,BAT,1,0
Prestwidge,Will,W,Will Prestwidge,W Prestwidge,62400,Brisbane Heat,BOWL,0,0
Renshaw,Matthew,MT,Matthew Renshaw,MT Renshaw,100000,Brisbane Heat,BAT,1,0
Richardson,Jhye,JA,Jhye Richardson,JA Richardson,157700,Perth Scorchers,BOWL,0,0
Richardson,Kane,KW,Kane Richardson,KW Richardson,84000,Melbourne Renegades,BOWL,0,0
Rogers,Tom,TS,Tom Rogers,TS Rogers,164800,Melbourne Renegades,BOWL,1,0
Rogers,Tom,TF,Tom Rogers,TF Rogers,39500,Melbourne Stars,BAT,1,0
Ross,Alex,AI,Alex Ross,AI Ross,88200,Adelaide Strikers,BAT,1,0
Rutherford,Sherfane,,Sherfane Rutherford,Sherfane Rutherford,76100,Sydney Thunder,BAT,1,0
Salamkheil,Waqar,,Waqar Salamkheil,Waqar Salamkheil,92200,Hobart Hurricanes,BOWL,1,0
Salzmann,Will,,Will Salzmann,Will Salzmann,39500,Sydney Thunder,ALLR,0,0
Sams,Daniel,DR,Daniel Sams,DR Sams,139300,Sydney Thunder,ALLR,0,0
Wade,Matthew,MS,Matthew Wade,MS Wade,115700,Hobart Hurricanes,WK,1,1
Sangha,Tanveer,T,Tanveer Sangha,T Sangha,124400,Sydney Thunder,BOWL,0,0
Sangha,Jason,JJS,Jason Sangha,JJS Sangha,82300,Sydney Thunder,BAT,0,0
Scott,Liam,,Liam Scott,Liam Scott,52300,Adelaide Strikers,ALLR,0,0
Seifert,Tim,,Tim Seifert,Tim Seifert,126900,Melbourne Renegades,WK,1,0
Short,Matthew,MW,Matthew Short,MW Short,249100,Adelaide Strikers,ALLR,1,0
Short,D'Arcy,DJM,D'Arcy Short,DJM Short,106800,Adelaide Strikers,BAT,1,0
Stoinis,Marcus,MP,Marcus Stoinis,MP Stoinis,129500,Melbourne Stars,ALLR,1,0
Silk,Jordan,JC,Jordan Silk,JC Silk,109300,Sydney Sixers,BAT,1,0
Smith,Steve,SPD,Steve Smith,SPD Smith,218400,Sydney Sixers,BAT,0,0
Spoors,Matthew,,Matthew Spoors,Matthew Spoors,57500,Perth Scorchers,ALLR,0,0
Stanlake,Billy,B,Billy Stanlake,B Stanlake,86500,Hobart Hurricanes,BOWL,1,0
Steketee,Mark,MT,Mark Steketee,MT Steketee,88100,Melbourne Stars,BOWL,1,0
Brown,Josh,J,Josh Brown,J Brown,114400,Melbourne Renegades,BAT,1,0
Sandhu,Gurinder,GS,Gurinder Sandhu,GS Sandhu,104000,Melbourne Renegades,BOWL,1,1
Swepson,Mitchell,MJ,Mitchell Swepson,MJ Swepson,81100,Brisbane Heat,BOWL,1,0
Siddle,Peter,PM,Peter Siddle,PM Siddle,100200,Melbourne Stars,BOWL,1,0
Turner,Ashton,AJ,Ashton Turner,AJ Turner,125300,Perth Scorchers,BAT,1,0
Tye,Andrew,AJ,Andrew Tye,AJ Tye,139900,Perth Scorchers,BOWL,1,0
Vidler,Callum,,Callum Vidler,Callum Vidler,39500,Brisbane Heat,BOWL,0,0
Vince,James,JM,James Vince,JM Vince,157200,Sydney Sixers,BAT,1,0
David,Tim,TH,Tim David,TH David,90100,Hobart Hurricanes,BAT,1,1
Wakim,Charlie,CA,Charlie Wakim,CA Wakim,39500,Hobart Hurricanes,BAT,0,0
Walter,Paul,PI,Paul Walter,PI Walter,135300,Brisbane Heat,ALLR,1,0
Harper,Sam,SB,Sam Harper,SB Harper,71700,Melbourne Stars,WK,1,0
Warren,Doug,,Doug Warren,Doug Warren,44600,Melbourne Stars,BOWL,0,0
Weatherald,Jake,J,Jake Weatherald,J Weatherald,79400,Adelaide Strikers,BAT,1,0
Webster,Beau,BJ,Beau Webster,BJ Webster,129600,Melbourne Stars,ALLR,0,0
Wells,Jon,JW,Jon Wells,JW Wells,85000,Melbourne Renegades,BAT,1,0
Wildermuth,Jack,JD,Jack Wildermuth,JD Wildermuth,58500,Brisbane Heat,ALLR,0,0
Wood,Jack,JP,Jack Wood,JP Wood,63900,Brisbane Heat,ALLR,0,0
Wright,Mac,M,Mac Wright,M Wright,126300,Hobart Hurricanes,BAT,0,0
Zampa,Adam,A,Adam Zampa,A Zampa,91100,Melbourne Renegades,BOWL,1,0
